Journal	Top 5 Dummy	Date	Role	First name	Surname	Affiliation 1	Country 1	Continent 1	Location 1	lat	lon	Affiliation 2	Country 2	Continent 2	Location 2	lat2	lon2
AEJ: Economic Policy	0	31/7/20	Editorial Board	Jeffrey	Clemens	UC San Diego	USA	North America	32.880223, -117.234097	32.880223	-117.234097						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Leemore	Dafny	Harvard, Cambridge	USA	North America	42.376971, -71.116738	42.376971	-71.116738						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Mariacristina	De Nardi	Minnesota, Minneapolis, Minnesota	USA	North America	44.974043, -93.227861	44.974043	-93.227861						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Tatyana	Deryugina	Illinois, Urbana Champaign, Illinois	USA	North America	40.102002, -88.227215	40.102002	-88.227215						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Joseph	Doyle	MIT, Cambridge, Massachusetts	USA	North America	42.359964, -71.094345	42.359964	-71.094345						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Mark	Duggan	Stanford, California	USA	North America	37.427436, -122.169764	37.427436	-122.169764						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Meredith	Fowlie	UC Berkeley	USA	North America	37.872026, -122.258382	37.872026	-122.258382						
AEJ: Economic Policy	0	31/7/20	Editorial Board	John	Friedman	Brown, Providence, Rhode Island	USA	North America	41.826732, -71.402474	41.826732	-71.402474						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Kate	Ho	Princeton	USA	North America	40.343139, -74.655125	40.343139	-74.655125						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Mireille	Jacobson	USC, Los Angeles	USA	North America	34.022299, -118.285175	34.022299	-118.285175						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Ruixue	Jia	UC San Diego	USA	North America	32.880223, -117.234098	32.880223	-117.234098						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Melissa	Kearney	Maryland, College Park, Maryland	USA	North America	38.986931, -76.942586	38.986931	-76.942586						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Ryan	Kellogg	Chicago	USA	North America	41.788584, -87.598887	41.788584	-87.598887						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Kory	Kroft	Toronto	Canada	North America	43.665216, -79.396172	43.665216	-79.396172						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Adriana	Lleras-Muney	UCLA	USA	North America	34.068961, -118.445082	34.068961	-118.445082						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Katrine	Loken	Bergen	Norway	Europe	60.387890, 5.321916	60.38789	5.321916						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Deborah	Lucas	MIT, Cambridge, Massachusetts	USA	North America	42.359964, -71.094346	42.359964	-71.094346						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Erin	Mansur	Dartmouth College, Hanover, New Hampshire	USA	North America	43.704417, -72.288492	43.704417	-72.288492						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Stephen	Ross	MIT, Cambridge, Massachusetts	USA	North America	42.359964, -71.094347	42.359964	-71.094347						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Cecilia	Rouse	Princeton	USA	North America	40.343139, -74.655126	40.343139	-74.655126						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Matthew	Shapiro	Michigan, Ann Arbor, Michigan	USA	North America	42.278083, -83.738331	42.278083	-83.738331						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Juan Carlos	Suarez Serrato	Duke, Durham, South Carolina	USA	North America	36.001426, -78.938347	36.001426	-78.938347						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Robert	Town	UT Austin	USA	North America	30.284965, -97.733782	30.284965	-97.733782						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Lise	Vesterlund	Pittsburgh	USA	North America	40.444300, -79.960889	40.4443	-79.960889						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Ebonya	Washington	Yale, New Haven, Connecticut	USA	North America	41.316349, -72.922391	41.316349	-72.922391						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Heidi	Williams	Stanford, California	USA	North America	37.427436, -122.169765	37.427436	-122.169765						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Daniel	Wilson	Federal Reserve Bank of San Francisco	USA	North America	37.793653, -122.395507	37.793653	-122.395507						
AEJ: Economic Policy	0	31/7/20	Editorial Board	David	Yanagizawa-Drott	Zurich	Switzerland	Europe	47.374322, 8.550907	47.374322	8.550907						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Crystal	Yang	Harvard, Cambridge	USA	North America	42.376971, -71.116739	42.376971	-71.116739						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Jonathan	Zinman	Dartmouth College, Hanover, New Hampshire	USA	North America	43.704417, -72.288493	43.704417	-72.288493						
AEJ: Economic Policy	0	31/7/20	Editorial Board	Sarah	Zubairy	Texas A&M, College Station, Texas	USA	North America	30.618733, -96.336477	30.618733	-96.336477						
AEJ: Macroeconomics	0	31/7/20	Co-editor	Virgiliu	Midrigan	NYU, New York, NY	USA	North America	40.729542, -73.996560	40.729542	-73.99656						
